11693.29000000,11693.29000000,11685.00000000,11686.52000000,28.98280700,1597901099999
11686.10000000,11690.94000000,11685.05000000,11688.83000000,22.96399800,1597901159999
11688.84000000,11700.13000000,11688.84000000,11699.53000000,17.15466000,1597901219999
11699.53000000,11711.62000000,11699.52000000,11709.77000000,26.30285100,1597901279999
11709.78000000,11711.34000000,11702.46000000,11710.00000000,43.14663900,1597901339999
11710.00000000,11716.83000000,11710.00000000,11716.12000000,20.97131700,1597901399999
11715.98000000,11717.53000000,11713.94000000,11716.79000000,10.13900700,1597901459999
11716.54000000,11719.26000000,11714.52000000,11718.92000000,21.94760200,1597901519999
11718.93000000,11718.93000000,11713.29000000,11716.98000000,13.99567400,1597901579999
11716.98000000,11717.51000000,11705.76000000,11707.56000000,29.56308400,1597901639999
11707.92000000,11713.55000000,11707.92000000,11713.03000000,13.44248300,1597901699999
11713.02000000,11714.02000000,11711.31000000,11713.85000000,8.42414900,1597901759999
11713.84000000,11713.85000000,11711.02000000,11712.17000000,16.82446100,1597901819999
11712.26000000,11713.50000000,11707.41000000,11708.60000000,17.57425000,1597901879999
11708.59000000,11710.76000000,11704.84000000,11707.88000000,53.23961300,1597901939999
11707.88000000,11709.02000000,11705.11000000,11708.36000000,18.27077000,1597901999999
11708.36000000,11712.93000000,11704.81000000,11706.64000000,22.77013600,1597902059999
11706.63000000,11706.63000000,11697.52000000,11697.61000000,26.76429900,1597902119999
11697.60000000,11697.60000000,11690.76000000,11691.78000000,14.59986200,1597902179999
11692.31000000,11695.70000000,11690.35000000,11693.22000000,12.79925400,1597902239999
11693.21000000,11696.90000000,11692.49000000,11696.68000000,10.11471700,1597902299999
11696.67000000,11700.00000000,11696.67000000,11699.99000000,11.51352100,1597902359999
11699.98000000,11700.83000000,11695.98000000,11700.28000000,28.85708700,1597902419999
11700.28000000,11701.47000000,11698.52000000,11701.47000000,16.65008200,1597902479999
11701.47000000,11707.70000000,11701.46000000,11704.90000000,13.46712600,1597902539999
11704.90000000,11706.80000000,11704.49000000,11705.81000000,14.45414000,1597902599999
11705.80000000,11705.81000000,11702.48000000,11704.63000000,14.51768500,1597902659999
11704.64000000,11704.99000000,11701.86000000,11701.86000000,22.04287700,1597902719999
11701.86000000,11704.09000000,11700.00000000,11700.18000000,28.47688000,1597902779999
11700.18000000,11701.86000000,11700.18000000,11701.86000000,12.98896500,1597902839999
11701.86000000,11706.42000000,11701.86000000,11705.53000000,12.74463100,1597902899999
11705.54000000,11707.70000000,11704.99000000,11706.91000000,13.77766300,1597902959999
11706.92000000,11709.38000000,11706.53000000,11707.54000000,7.77324700,1597903019999
11707.54000000,11709.23000000,11704.99000000,11706.40000000,44.42219600,1597903079999
11706.40000000,11706.40000000,11700.99000000,11701.15000000,18.81974600,1597903139999
11701.14000000,11701.15000000,11695.35000000,11695.96000000,39.83119700,1597903199999
11695.95000000,11696.11000000,11687.21000000,11688.17000000,41.38963500,1597903259999
11687.71000000,11688.27000000,11685.00000000,11685.66000000,38.16397800,1597903319999
11685.66000000,11686.23000000,11685.00000000,11685.23000000,16.93943800,1597903379999
11685.24000000,11685.51000000,11680.81000000,11681.32000000,24.84236600,1597903439999
11681.31000000,11682.20000000,11672.38000000,11674.33000000,61.45876700,1597903499999
11674.86000000,11681.18000000,11674.14000000,11676.44000000,50.26909000,1597903559999
11676.44000000,11680.14000000,11668.00000000,11678.79000000,48.84102600,1597903619999
11678.79000000,11709.55000000,11678.79000000,11708.21000000,88.74097600,1597903679999
11708.21000000,11720.00000000,11707.78000000,11719.24000000,33.17473900,1597903739999
11719.00000000,11720.00000000,11718.99000000,11720.00000000,88.70434300,1597903799999
11720.00000000,11732.02000000,11719.99000000,11729.03000000,56.09254000,1597903859999
11729.06000000,11733.68000000,11729.01000000,11731.92000000,20.97883800,1597903919999
11731.92000000,11750.00000000,11731.92000000,11747.64000000,89.99936600,1597903979999
11747.63000000,11750.00000000,11739.22000000,11746.22000000,61.93818600,1597904039999
11746.22000000,11750.00000000,11745.24000000,11747.34000000,75.77665200,1597904099999
11747.34000000,11766.66000000,11747.34000000,11756.93000000,108.27544400,1597904159999
11756.93000000,11758.73000000,11755.04000000,11755.70000000,29.64978600,1597904219999
11755.70000000,11767.50000000,11755.69000000,11767.11000000,21.88653600,1597904279999
11767.12000000,11770.82000000,11761.51000000,11762.17000000,45.26646400,1597904339999
11762.17000000,11764.01000000,11755.65000000,11756.10000000,48.34156300,1597904399999
11756.09000000,11759.79000000,11754.59000000,11756.13000000,38.83705800,1597904459999
11756.13000000,11759.59000000,11755.57000000,11757.03000000,23.53511800,1597904519999
11757.04000000,11758.85000000,11755.40000000,11758.43000000,24.78301100,1597904579999
11758.43000000,11758.44000000,11753.80000000,11755.06000000,30.09281200,1597904639999
11755.07000000,11763.29000000,11755.06000000,11763.20000000,39.84461200,1597904699999
11763.21000000,11772.00000000,11763.20000000,11772.00000000,47.73299000,1597904759999
11772.00000000,11779.00000000,11771.52000000,11776.58000000,76.28357000,1597904819999
11776.49000000,11791.59000000,11774.97000000,11790.93000000,126.98528700,1597904879999
11790.30000000,11792.62000000,11772.69000000,11776.40000000,83.14612800,1597904939999
11776.40000000,11777.63000000,11772.38000000,11774.05000000,37.62651600,1597904999999
11774.05000000,11774.98000000,11768.77000000,11769.99000000,50.30229000,1597905059999
11769.99000000,11773.95000000,11769.18000000,11773.79000000,40.84982800,1597905119999
11773.79000000,11773.79000000,11767.06000000,11767.32000000,29.35868500,1597905179999
11767.31000000,11771.60000000,11766.35000000,11769.72000000,24.49805200,1597905239999
